Company Name,Company Website,Job Page / Careers URL,Reason for Inclusion,Location,Company Type,Service Focus Area,,,,,url_type,power_url,dynamics_url,wait_for,item_selector,detail_trigger_selector,detail_content_selector,next_button_selector,back_button_selector,search_selector,enter_selector
Hitachi Solutions,https://global.hitachi-solutions.com/,https://careers.smartrecruiters.com/HitachiSolutions/,Well-known Microsoft Dynamics systems integrator (part of Hitachi) with a focus on Business Applications; regularly hiring for numerous Dynamics 365 specialist roles.,"Tokyo, Japan (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,Done,static,https://careers.smartrecruiters.com/HitachiSolutions/?search=power%20platform,https://careers.smartrecruiters.com/HitachiSolutions/?search=dynamics%20365,"class=""list--dotted title-list""",,,,,,,
Insight Global,https://insightglobal.com/,"Dynamics: https://insightglobal.com/jobs/find_a_job/?srch=Dynamics&rd=Distance&remote=false
D365: https://insightglobal.com/jobs/find_a_job/?srch=D365&rd=Distance&remote=false
PowerBI: https://insightglobal.com/jobs/find_a_job/?srch=power%20BI&rd=Distance&remote=false
Power Platform: https://insightglobal.com/jobs/find_a_job/?srch=power%20platform&rd=Distance&remote=false
Power Apps: https://insightglobal.com/jobs/find_a_job/?srch=power%20apps&rd=Distance&remote=false","Major IT staffing company with broad reach across industries; constantly posts a high volume of tech jobs, including positions for Microsoft Dynamics professionals.","Atlanta, GA, USA",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,in progress,issue,,,,,,,,,,
Experis (ManpowerGroup),https://experis.com/,https://www.experis.com/en/search?page=1,Global IT professional resourcing firm with many clients; offers a large number of tech job listings and frequently seeks candidates with Dynamics 365/Power Platform skills.,"Milwaukee, WI, USA",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,sta,,static,https://www.experis.com/en/search?page=1&searchKeyword=power+platform&sortOrder=Relevance&sf=sortOrder&ids={sortOrder:[d345ff2072b1444daf5d15d7a57ba3fe]},https://www.experis.com/en/search?page=1&searchKeyword=dynamics+365&sortOrder=Relevance&sf=sortOrder&ids=={sortOrder:[d345ff2072b1444daf5d15d7a57ba3fe]},"class=""job-actionbar""",,,,,,,
CGI Inc.,https://www.cgi.com/,https://cgi.njoyn.com/corp/xweb/xweb.asp?CLID=21001&page=joblisting&lang=1,Large multinational IT and business consulting firm (Microsoft partner) with strong presence in North America; robust pipeline of projects and ongoing hiring for Dynamics 365 talent.,"Montreal, Canada (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,Done,semi_dynamic,https://cgi.njoyn.com/corp/xweb/xweb.asp?NTKN=c&clid=21001&Page=joblisting,,tr,tr,,"class=""job-desc""",,,"id=""Inp_Keywords""","id=""joblistingsearchbutton"""
Slalom Consulting,https://www.slalom.com/,Job Openings | Slalom,Fast-growing consulting firm and Microsoft partner specializing in cloud solutions; high brand regard and actively recruiting for Dynamics 365/Power Platform roles in multiple U.S. cities.,"Seattle, WA, USA",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,Done,static,https://jobs.slalom.com/#/?keywords=power%20platform%20,https://jobs.slalom.com/#/?keywords=dynamics%20356%20,,,,,,,,
Booz Allen Hamilton,https://www.boozallen.com/,https://careers.boozallen.com/jobs/search?_gl=1*1ihsgp1*_gcl_au*MTcxNjQxNjE3OS4xNzQ3ODg1ODI4,Leading government-focused consulting firm with Microsoft expertise; strong brand and many openings (especially in U.S. public sector) for Dynamics 365 and Power Platform professionals.,"McLean, VA, USA",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,Done,static,https://careers.boozallen.com/jobs/search/power%20platform?listFilterMode=1&jobRecordsPerPage=20&,https://careers.boozallen.com/jobs/search/dynamics%20356?listFilterMode=1&jobRecordsPerPage=20&,"class=""table--default""",,,,,,,
KPMG LLP,https://www.kpmg.us/,https://www.kpmguscareers.com/job-search/?career-level=&career-level-parents=Experienced&practice-areas-parents=Innovation%20%26%20Technology%7C&practice-areas=&spage=1,Big Four professional services firm and Microsoft partner; reputable brand and dedicated Dynamics 365 team generating steady demand for skilled practitioners.,"Amstelveen, Netherlands (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,in progress,static,https://www.kpmguscareers.com/job-search/?career-level=&career-level-parents=Experienced&practice-areas-parents=Innovation%20%26%20Technology%7C&practice-areas=&keyword=power%20platform&location=&radius=50&spage=1,https://www.kpmguscareers.com/job-search/?career-level=&career-level-parents=Experienced&practice-areas-parents=Innovation%20%26%20Technology%7C&practice-areas=&keyword=Dyanmic%20365&location=&radius=50&spage=1,"class=""list-view d-flex justify-content-between""",,,,,,,
PwC (PricewaterhouseCoopers),https://www.pwc.com/,"https://jobs.us.pwc.com/search-jobs?acm=ALL&alrpm=ALL&ascf=[%7B%22key%22:%22custom_fields.JobSeekerType%22,%22value%22:%22Experienced%22%7D]",Big Four consultancy with an established Microsoft alliance; significant brand prestige and hiring needs for Dynamics 365 experts to support digital transformation projects.,"London, UK (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,Done,static,"https://jobs.us.pwc.com/search-jobs?acm=ALL&alrpm=ALL&ascf=[%7B%22key%22:%22custom_fields.JobSeekerType%22,%22value%22:%22Experienced%22%7D]",,,,,,,,,
DXC Technology,https://www.dxc.com/,https://careers.dxc.com/global/en/search-results,Global IT services company and Microsoft partner (inherited large Dynamics practice); well-known brand often hiring multiple Dynamics 365 consultants and developers.,"Ashburn, VA, USA",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,,static,https://careers.dxc.com/global/en/search-results?keywords=power%20platform,https://careers.dxc.com/global/en/search-results?keywords=dynamics%20365,"class=""information""",,,,,,,
NTT Data,https://us.nttdata.com/,https://nttdata.eightfold.ai/careers,"Global technology services provider and Microsoft partner with a broad client base; numerous ongoing projects require Dynamics 365 talent, leading to many open roles.","Tokyo, Japan (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,,static,https://nttdata.eightfold.ai/careers?query=power+platform&start=0&pid=563327924072039&sort_by=solr,https://nttdata.eightfold.ai/careers?query=dynamcis+365&start=0&pid=563327924072039&sort_by=solr,"data-test-id=""job-listing""",,,,,,,
EPAM Systems,https://www.epam.com/,https://www.epam.com/careers/job-listings,Large global software engineering firm (Microsoft partner) with enterprise clients; growing demand for Microsoft Business Applications skills and plenty of job opportunities.,"Newtown, PA, USA (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,,static,https://www.epam.com/careers/job-listings?recruitingUrl=%2Fcontent%2Fepam%2Fen%2Fcareers%2Fjob-listings%2Fjob&query=power+platform+&country=all&sort=relevance&searchType=placeOfWorkFilter,https://www.epam.com/careers/job-listings?recruitingUrl=%2Fcontent%2Fepam%2Fen%2Fcareers%2Fjob-listings%2Fjob&query=dynamics+365+&country=all&sort=relevance&searchType=placeOfWorkFilter,"class=""search-result__item-info-group""",,,,,,,
Zensar Technologies,https://www.zensar.com/,https://fa-etvl-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=power+platform&mode=location&sortBy=POSTING_DATES_ASC,Established international IT services company and Microsoft partner; recognized brand that regularly seeks Dynamics 365 consultants to support its enterprise projects.,"Pune, India (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,,dynamic ,https://fa-etvl-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=power+platform&mode=location&sortBy=POSTING_DATES_ASC,,"class=""job-grid-item__body""","class=""job-grid-item__body""","class=""job-grid-item__link""","class=""cc-column__content""",,"id=""dialogCloseButton""",,
Kelly Technology,https://www.kellyservices.us/,https://www.mykelly.com/job-search/,Division of Kelly Services specializing in tech staffing; longstanding reputation and a wide range of IT job postings including Microsoft Dynamics-related positions.,"Troy, MI, USA",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,,issue,,,,,,,,,,
RSM US LLP,https://rsmus.com/,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers,Leading mid-market accounting and consulting firm and top Microsoft Dynamics partner; highly reputable in Dynamics 365 (especially ERP) and consistently hiring specialists.,"Chicago, IL, USA",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,Done,static,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers?q=power%20platform,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers?q=dynamics%20365,"class=""css-1q2dra3""",,,,,,,
HSO,https://www.hso.com/,https://www.hso.com/careers/vacancies/,Global Microsoft Gold Partner focusing on Dynamics 365 solutions; strong niche reputation (especially in ERP) and an ongoing need for skilled Dynamics professionals.,"Amsterdam, Netherlands (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,Done,static,https://www.hso.com/careers/vacancies/?searchTerm=power+platform,https://www.hso.com/careers/vacancies/?searchTerm=dynamics+365,"class=""card card--text""",,,,,,,
Argano (Arbela),https://argano.com/,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs,"Prominent Microsoft partner (Arbela, now part of Argano) with a focus on Dynamics 365 implementations; respected in the industry and actively expanding its teams.","Dallas, TX, USA",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,Done,static,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=power+platform&mode=location,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=dynamics+365&mode=location,"class=""job-list-item__link""",,,,,,,
Quisitive,https://quisitive.com/,"https://quisitive.com/careers/careers-north-america/
https://quisitive.com/careers/careers-india/",Notable Microsoft-focused services firm (with Azure and Dynamics specialization); growing rapidly in North America and recruiting Dynamics 365/Power Platform experts to support its projects.,"Toronto, Canada",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,issue,static,https://quisitive.com/careers/careers-north-america/,https://quisitive.com/careers/careers-north-america/,"class=""job-posts""",,,,,,,
Crowe LLP,https://www.crowe.com/,https://careers.crowe.com/search-results,Mid-market accounting and consulting firm and Microsoft Gold Partner (noted for Dynamics 365 finance solutions); solid reputation in specific industries and steady hiring needs for Dynamics talent.,"Chicago, IL, USA",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,in progress,static,https://careers.crowe.com/search-results?keywords=power%20platform,,"class=""job-title""",,,,,,,
Perficient,https://www.perficient.com/,https://fa-etqd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs,Major U.S. digital consultancy and Microsoft partner with a broad client portfolio; well-known in tech circles and frequently hiring for Dynamics 365 and Power Platform roles.,"St. Louis, MO, USA",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,,static,https://fa-etqd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=power+platform&mode=location,https://fa-etqd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=dynamics+365&mode=location,"class=""job-list-item__link""",,,,,,,
Velosio,https://velosio.com/,https://careers.velosio.com/jobs,Leading Microsoft Dynamics partner for the SMB market in North America; well-regarded (former MS Presidents Club member) with continuous openings as it serves many clients.,"Columbus, OH, USA",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,,static,https://careers.velosio.com/jobs?keywords=power%20platform%20&sortBy=relevance&page=1&limit=100,https://careers.velosio.com/jobs?keywords=dynamics%20365%20&sortBy=relevance&page=1&limit=100,"class=""description-container""",,,,,,,
Sikich LLP,https://www.sikich.com/,https://jobs.jobvite.com/sikichcareers,U.S. professional services firm and prominent Microsoft partner for ERP/CRM; strong mid-market brand that regularly seeks Dynamics 365 talent for its growing consulting practices.,"Chicago, IL, USA",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,,static,https://jobs.jobvite.com/sikichcareers/search?q=power%20platform&l=&c=,,"class=""jv-job-list-name""",,,,,,,
AlfaPeople,https://alfapeople.com/,https://alfapeople.com/careers/,International Microsoft Dynamics partner with presence across Americas and Europe; recognized for CRM expertise and typically advertising multiple Dynamics 365 positions.,"Copenhagen, Denmark (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,,no_job,,,,,,,,,,
Alithya,https://www.alithya.com/,https://www.alithya.com/en/careers,North American digital strategy and Microsoft Dynamics specialist (Canada-based); expanding presence with numerous open jobs for Dynamics 365 consultants and developers.,"Montreal, Canada",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,Done,ip,https://www.alithya.com/en/careers,,,,,,,,,
Insight Enterprises,https://www.insight.com/,https://careers.insight.com/careers,Fortune 500 IT solutions provider and Microsoft partner (noted as a large reseller); significant brand with a broad services division that often recruits for Power Platform and Dynamics roles.,"Tempe, AZ, USA",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,,dynamic,https://careers.insight.com/careers,,"role=""link""","role=""link""","role=""link""","class=""position-full-card""",,"class=""col-xs-5 ""","id=""main-search-box""","class=""go-button"""
K2 Partnering Solutions,https://k2partnering.com/,https://k2partnering.com/talent/jobs/,Global IT staffing and consulting company specialized in enterprise software (including Dynamics 365); strong network in the Microsoft ecosystem and handles many high-skill placements.,"London, UK (Global)",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,,static,https://k2partnering.com/talent/jobs/,,,,,,,,,
Focus Cloud (Cognitive Group),https://focuscloudgroup.org/,https://www.focuscloudgroup.org/job-search/,Specialist staffing group focusing exclusively on Microsoft business applications (formerly Cognitive Group); deep market focus ensures a high volume of Dynamics 365/Power Platform job listings.,"London, UK",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,,static,https://www.focuscloudgroup.org/job-search/?keyword=power+platform,,"class=""results-header""",,,,,,,
Next Ventures,https://www.next-ventures.com/,https://next-ventures.us/jobs/,"Global tech recruitment firm with a Microsoft Dynamics practice; consistently handles numerous Dynamics 365 roles for clients, leveraging a strong international candidate network.","London, UK",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,,static,https://next-ventures.us/jobs/?matador_s=power+platform,,"class=""job_listings""",,,,,,,
Hays Technology,https://www.hays.com/,"https://www.hays.com/job-search/in-united-states-us?q=&location=United%20States,%20US&specialismId=&subSpecialismId=&locationf=&industryf=&sortType=0&jobType=-1&flexiWorkType=-1&payTypefacet=-1&minPay=-1&maxPay=-1&jobSource=HaysGCJ&searchPageTitle=Jobs%20in%20United%20States,%20US%20%7C%20Hays%20Recruitment%20US&searchPageDesc=Browse%20all%20our%20jobs%20in%20United%20States,%20US%20across%20a%20range%20of%20professions.%20Let%20the%20team%20at%20Hays%20Recruitment%20US%20help%20you%20to%20find%20your%20next%20role!","Division of Hays plc, a top global recruiting firm; vast reach and many IT job openings, including frequent opportunities for Microsoft Dynamics and Power Platform specialists.","London, UK (Global)",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,,static,"https://www.hays.com/job-search/power-platf-jobs-in-united-states-us?q=Power%20Platf&location=United%20States,%20US&specialismId=&subSpecialismId=&locationf=&industryf=&sortType=0&jobType=-1&flexiWorkType=-1&payTypefacet=-1&minPay=-1&maxPay=-1&jobSource=HaysGCJ&searchPageTitle=Power%20Platf%20Jobs%20in%20United%20States,%20US%20%7C%20Hays%20Recruitment%20US&searchPageDesc=Looking%20for%20a%20new%20Power%20Platf%20job%20in%20United%20States,%20US%3F%20Browse%20our%20latest%20Power%20Platf%20jobs%20and%20apply%20with%20Hays!",,,,,,,,,
Addison Group (Tech),https://addisongroup.com/,https://www.addisongroup.com/jobs/l/recruiting/jobsearchaction/19e62b1f-e3e6-11eb-be56-42010a8a0031/8b589444-39b4-11f0-8e87-0242683a33f9/false?locations=&term=&postalCode=,"U.S.-based staffing firm (Tech division) known for mid-to-senior level placements; broad client base results in ongoing demand for Microsoft-focused professionals, though career page requires direct search.","Chicago, IL, USA",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,,static,https://www.addisongroup.com/jobs/l/recruiting/jobsearchaction/19e62b1f-e3e6-11eb-be56-42010a8a0031/8b589444-39b4-11f0-8e87-0242683a33f9/false?locations=&term=power+platform&postalCode=,,"class=""list-group-item""",,,,,,,
Motion Recruitment,https://motionrecruitment.com/,https://motionrecruitment.com/tech-jobs?start=0,"Well-established IT recruitment firm in North America (formerly Jobspring/SearchPros); numerous tech openings at any time, including roles for Microsoft stack developers and analysts.","Boston, MA, USA",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,,static,https://motionrecruitment.com/tech-jobs?keywords=power+platform,,"class=""JobItem_module_jobItem""",,,,,,,
Collabera,https://collabera.com/,https://collabera.com/job-search/?sort_by=&industry=&keyword=&location=&Posteddays=0,"Large IT staffing company with Fortune 500 clients; significant volume of job postings across technologies, including Microsoft Dynamics developers and consultants.","Basking Ridge, NJ, USA",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,,static,https://collabera.com/job-search/?sort_by=&industry=&keyword=power+platform+&location=&Posteddays=0,,"class=""card-body""",,,,,,,
DISYS,https://disys.com/,https://dexian.com/jobs/,Global staffing and managed services firm; places many IT professionals and often recruits for Microsoft Dynamics roles across different industries.,"McLean, VA, USA",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,,no_job,,,,,,,,,,
Lucas Group (Tech),https://lucasgroup.com/,https://kornferry.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-4/xf-9ddf4301e915/candidate/jobboard/vacancy/3/adv/,U.S. executive search and contract staffing firm (now part of Korn Ferry) with a technology practice; strong network and periodically filling Microsoft Dynamics positions for clients.,"Atlanta, GA, USA",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,in progress,no_job,,,,,,,,,,
Michael Page,https://michaelpage.com/,https://www.michaelpage.com/jobs/information-technology?page-index=1,"International recruitment agency with a technology division; well-known brand with numerous listings, occasionally including Microsoft Dynamics and related tech roles.","London, UK (Global)",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,,no_job,,,,,,,,,,
